months,A0,C_base,r_annual,alpha,margin_per_person,bond_capital_end,impact_cum,months_positive_u,pct_months_positive_u,first_impact_month,avg_u,avg_u_positive
24,100,2000.0,0.04,0.7,30.0,17258.609070065333,7396.546744313712,24,1.0,1.0,1027.2981589324602,1027.2981589324602
24,100,2000.0,0.04,0.6,30.0,14736.10901543599,9824.072676957327,24,1.0,1.0,1023.3409038497217,1023.3409038497217
24,100,2000.0,0.04,0.5,30.0,12232.835873183998,12232.835873183998,24,1.0,1.0,1019.4029894319998,1019.4029894319998
24,100,2000.0,0.04,0.9,40.0,44723.711480012564,4969.30127555695,24,1.0,1.0,2070.5421981487298,2070.5421981487298
24,100,2000.0,0.04,0.8,40.0,39600.95449111446,9900.238622778614,24,1.0,1.0,2062.5497130788785,2062.5497130788785
24,100,2000.0,0.04,0.7,40.0,34517.218140130666,14793.093488627426,24,1.0,1.0,2054.5963178649204,2054.5963178649204
24,100,2000.0,0.04,0.6,40.0,29472.218030871984,19648.145353914657,24,1.0,1.0,2046.6818076994432,2046.6818076994432
24,100,2000.0,0.04,0.5,40.0,24465.671746367992,24465.671746367992,24,1.0,1.0,2038.8059788639994,2038.8059788639994
24,100,2000.0,0.04,0.9,50.0,67085.56722001884,7453.951913335424,24,1.0,1.0,3105.8132972230947,3105.8132972230947
24,100,2000.0,0.04,0.8,50.0,59401.43173667171,14850.357934167921,24,1.0,1.0,3093.824569618318,3093.824569618318
24,100,2000.0,0.04,0.7,50.0,51775.82721019598,22189.640232941143,24,1.0,1.0,3081.8944767973794,3081.8944767973794
24,100,2000.0,0.04,0.6,50.0,44208.32704630797,29472.218030871984,24,1.0,1.0,3070.022711549164,3070.022711549164
24,100,2000.0,0.04,0.5,50.0,36698.50761955199,36698.50761955199,24,1.0,1.0,3058.208968295999,3058.208968295999
60,100,2000.0,0.04,0.9,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
60,100,2000.0,0.04,0.8,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
60,100,2000.0,0.04,0.7,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
60,100,2000.0,0.04,0.6,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
60,100,2000.0,0.04,0.5,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
60,100,2000.0,0.04,0.9,15.0,0.0,0.0,0,0.0,,-500.0,0.0
60,100,2000.0,0.04,0.8,15.0,0.0,0.0,0,0.0,,-500.0,0.0
60,100,2000.0,0.04,0.7,15.0,0.0,0.0,0,0.0,,-500.0,0.0
60,100,2000.0,0.04,0.6,15.0,0.0,0.0,0,0.0,,-500.0,0.0
60,100,2000.0,0.04,0.5,15.0,0.0,0.0,0,0.0,,-500.0,0.0
60,100,2000.0,0.04,0.9,20.0,0.0,0.0,0,0.0,,0.0,0.0
60,100,2000.0,0.04,0.8,20.0,0.0,0.0,0,0.0,,0.0,0.0
60,100,2000.0,0.04,0.7,20.0,0.0,0.0,0,0.0,,0.0,0.0
60,100,2000.0,0.04,0.6,20.0,0.0,0.0,0,0.0,,0.0,0.0
60,100,2000.0,0.04,0.5,20.0,0.0,0.0,0,0.0,,0.0,0.0
60,100,2000.0,0.04,0.9,25.0,29534.220441103065,3281.5800490114516,60,1.0,1.0,546.9300081685752,546.9300081685752
60,100,2000.0,0.04,0.8,25.0,25989.148918493513,6497.287229623375,60,1.0,1.0,541.4406024686149,541.4406024686149
60,100,2000.0,0.04,0.7,25.0,22512.934176389957,9648.400361309981,60,1.0,1.0,536.022242294999,536.022242294999
60,100,2000.0,0.04,0.6,25.0,19104.26102738523,12736.174018256817,60,1.0,1.0,530.6739174273674,530.6739174273674
60,100,2000.0,0.04,0.5,25.0,15761.838979622928,15761.838979622928,60,1.0,1.0,525.3946326540976,525.3946326540976
60,100,2000.0,0.04,0.9,30.0,59068.44088220613,6563.160098022904,60,1.0,1.0,1093.8600163371505,1093.8600163371505
60,100,2000.0,0.04,0.8,30.0,51978.297836987025,12994.574459246753,60,1.0,1.0,1082.8812049372298,1082.8812049372298
60,100,2000.0,0.04,0.7,30.0,45025.868352779915,19296.800722619962,60,1.0,1.0,1072.044484589998,1072.044484589998
60,100,2000.0,0.04,0.6,30.0,38208.522054770474,25472.348036513635,60,1.0,1.0,1061.3478348547349,1061.3478348547349
60,100,2000.0,0.04,0.5,30.0,31523.677959245862,31523.677959245862,60,1.0,1.0,1050.7892653081954,1050.7892653081954
60,100,2000.0,0.04,0.9,40.0,118136.88176441226,13126.320196045808,60,1.0,1.0,2187.720032674301,2187.720032674301
60,100,2000.0,0.04,0.8,40.0,103956.59567397405,25989.148918493505,60,1.0,1.0,2165.7624098744595,2165.7624098744595
60,100,2000.0,0.04,0.7,40.0,90051.73670555983,38593.601445239925,60,1.0,1.0,2144.088969179996,2144.088969179996
60,100,2000.0,0.04,0.6,40.0,76417.04410954095,50944.69607302727,60,1.0,1.0,2122.6956697094697,2122.6956697094697
60,100,2000.0,0.04,0.5,40.0,63047.355918491725,63047.355918491725,60,1.0,1.0,2101.5785306163907,2101.5785306163907
60,100,2000.0,0.04,0.9,50.0,177205.32264661833,19689.480294068704,60,1.0,1.0,3281.580049011453,3281.580049011453
60,100,2000.0,0.04,0.8,50.0,155934.89351096106,38983.72337774026,60,1.0,1.0,3248.643614811689,3248.643614811689
60,100,2000.0,0.04,0.7,50.0,135077.60505833972,57890.4021678599,60,1.0,1.0,3216.1334537699936,3216.1334537699936
60,100,2000.0,0.04,0.6,50.0,114625.56616431136,76417.04410954093,60,1.0,1.0,3184.043504564203,3184.043504564203
