horizon,A0,m0,time_to_fs3,time_to_fs6,time_to_fs12,viable_fs3,viable_fs6,viable_fs12,impact_cum_end,FS_end,BC_end,employees_end,pct_months_U_pos,avg_U,A_end,m_end,p_eff_last,phase_final,fs_cov_final
60,50.0,50.0,38.0,,,1,0,0,10234.124850184086,7310.089178702918,3376.0825409945087,3,0.75,400.8035224692624,51.02290103450117,53.27131603721475,0.22842850034541082,1.0,2.4366963929009726
60,50.0,75.0,12.0,51.0,,1,1,0,29540.115747479736,21100.082676771242,20509.31900686647,3,1.0,1514.0487988239545,52.32236141974964,86.59677195052468,0.33075259340529256,3.0,7.033360892257081
60,50.0,100.0,7.0,26.0,,1,1,0,46552.38219592983,33251.70156852132,39450.4850235339,5,1.0,2504.8248375323064,53.132221822747915,121.38149983547531,0.3193929557398862,3.0,6.650340313704264
60,50.0,150.0,4.0,14.0,,1,1,0,83140.17250607365,59385.8375043383,83344.0167540812,7,1.0,4688.280140586814,54.2982466288377,195.62594442599126,0.3791850386394755,3.0,8.483691072048329
60,50.0,250.0,4.0,7.0,37.0,1,1,1,193124.41540424724,137946.01100303372,285498.2832081305,10,1.0,12421.971998081834,57.29781783434787,392.0789574107439,0.43908738244199425,4.0,13.794601100303373
60,100.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1500.0,100.0,5.0,,1.0,0.0
60,100.0,10.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1000.0,100.0,10.0,,1.0,0.0
60,100.0,15.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-500.0,100.0,15.0,,1.0,0.0
60,100.0,20.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,0.0,100.0,20.0,,1.0,0.0
60,100.0,25.0,38.0,,,1,0,0,10253.269573548801,7323.763981106289,3417.86152299973,3,0.7666666666666667,400.137667828266,101.02481455007985,26.63884133951589,0.22892235048349696,1.0,2.441254660368763
60,100.0,40.0,11.0,45.0,,1,1,0,31848.445438583913,22748.88959898849,23069.68613786892,4,1.0,1648.3219689082882,102.44302515243383,46.53029137479157,0.3320732207725843,2.0,5.687222399747123
60,100.0,50.0,8.0,27.0,,1,1,0,45153.69749994357,32252.641071388258,37806.94367030011,5,1.0,2421.92912069324,103.0794037323934,60.49290443539593,0.3130128960976067,3.0,6.450528214277652
60,100.0,75.0,4.0,14.0,,1,1,0,79104.8142038073,56503.4387170052,77106.14017983478,7,1.0,4424.182265053091,104.17684740229984,97.08227918441017,0.3658633174934129,3.0,8.07191981671503
60,100.0,100.0,3.0,9.0,56.0,1,1,1,126348.58975526497,90248.99268233219,161123.22484175602,7,1.0,7699.220007492166,105.57874372785463,141.10552631245216,0.41691112797022234,4.0,12.892713240333169
60,100.0,150.0,3.0,6.0,31.0,1,1,1,231598.45320816376,165427.46657725985,359493.172078748,12,1.0,15181.967677826906,107.93907332509576,243.84807684310672,0.43905868592777936,4.0,13.785622214771655
60,100.0,250.0,1.0,4.0,17.0,1,1,1,463341.9104825722,330958.5074875516,898376.1518772369,21,1.0,33359.519613929035,111.80560832372265,493.2390108054747,0.48706232909521646,4.0,15.759928927978647
60,250.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-750.0,250.0,5.0,,1.0,0.0
60,250.0,10.0,39.0,,,1,0,0,10135.474098435529,7239.624356025381,3309.0636879717204,3,0.7666666666666667,389.19387015099795,251.0130408893986,10.647772121729343,0.22691567950799535,1.0,2.413208118675127
60,250.0,15.0,12.0,54.0,,1,1,0,27722.645447188064,19801.88960513433,18339.164106301036,3,1.0,1405.7577131680353,252.1957674625551,17.184221821953905,0.3167173572715287,3.0,6.6006298683781095
60,250.0,20.0,8.0,27.0,,1,1,0,44391.594715026375,31708.281939304572,36987.69835198996,5,1.0,2378.032858050086,253.05325235547707,24.158097621701135,0.3095467701029784,3.0,6.3416563878609145
60,250.0,25.0,5.0,19.0,,1,1,0,60321.89983189315,43087.07130849512,55468.05734976134,6,1.0,3318.1938063013054,253.65588753917274,31.33977842431529,0.33687152152635547,3.0,7.1811785514158535
60,250.0,40.0,3.0,10.0,58.0,1,1,1,122171.1956798676,87265.13977133404,155939.2997687244,7,1.0,7447.051650108409,255.50036643957029,56.16959441827708,0.40651573472294533,4.0,12.466448538762005
60,250.0,50.0,4.0,7.0,41.0,1,1,1,173453.15368391073,123895.10977422199,248133.38839248137,9,1.0,11018.618127331463,256.83065133563235,76.19192866302285,0.43867735262373236,4.0,13.766123308246888
60,250.0,75.0,2.0,5.0,24.0,1,1,1,300152.4109429308,214394.57924495052,501667.6155248584,15,1.0,20271.93688346712,259.30995348681466,130.36006038926303,0.45156452766027677,4.0,14.292971949663368
60,250.0,100.0,1.0,4.0,17.0,1,1,1,437283.2651208423,312345.1893720302,822687.0473062011,21,1.0,31063.961309105038,261.48175063532665,193.53359407937214,0.48383656377921647,4.0,14.873580446287152
60,250.0,150.0,1.0,2.0,8.0,1,1,1,674898.4551286023,482070.32509185903,2012219.0413319669,22,1.0,60318.66874952494,265.6285766975796,353.5934601102661,0.6380127610384736,4.0,21.91228750417541
60,250.0,250.0,1.0,2.0,3.0,1,1,1,1088285.0927947673,777346.4948534054,5312450.0211331,22,1.0,131726.7500662964,273.8359029156192,806.9657153991302,0.7,4.0,35.3339315842457
60,500.0,5.0,39.0,,,1,0,0,10091.897849996665,7208.498464283334,3284.1358684901734,3,0.7666666666666667,385.573935715139,501.0086854422784,5.322450613280797,0.22616930076895228,1.0,2.402832821427778
